"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Do Language Models Have a Critical Period for Language Acquisition?","https://scispace.com/paper/do-language-models-have-a-critical-period-for-language-6bnn03v5y9tr","2024","Journal Article","","Ioana R Constantinescu
Tiago Pimentel
Ryan Cotterell
Alex Warstadt","10.48550/arxiv.2407.19325","","Humans appear to have a critical period (CP) for language acquisition: Second language (L2) acquisition becomes harder after early childhood, and ceasing exposure to a first language (L1) after this period (but not before) typically does not lead to substantial loss of L1 proficiency. It is unknown whether these CP effects result from innately determined brain maturation or as a stabilization of neural connections naturally induced by experience. In this study, we use language models (LMs) to test the extent to which these phenomena are peculiar to humans, or shared by a broader class of language learners. We vary the age of exposure by training LMs on language pairs in various experimental conditions, and find that LMs, which lack any direct analog to innate maturational stages, do not show CP effects when trained sequentially on L1 and L2. Our results contradict the claim that CP effects are an inevitable result of learning in statistical learners, and they are consistent with an innate mechanism for CP effects. We show that we can reverse-engineer the CP by introducing a regularizer partway through training to simulate a maturational decrease in plasticity. All in all, our results suggest that L1 learning on its own may not be enough to induce a CP, and additional engineering is necessary to make language models more cognitively plausible. ","This study uses language models to investigate the critical period for language acquisition, finding that models lack CP effects despite sequential training on first and second languages, suggesting an innate mechanism may be responsible."
"Not Quite as Grown-Up as We Like to Think Parallels Between Cognition in Childhood and Adulthood","https://scispace.com/paper/not-quite-as-grown-up-as-we-like-to-think-parallels-between-47i3knzdze","2005","Journal Article","Psychological Science","Adele Diamond
Natasha Z. Kirkham","10.1111/J.0956-7976.2005.01530.X","","Greater continuity in cognition between children and adults may exist than is usually appreciated. It was thought that after 3 to 4 years of age, the problem in switching on the dimensional-change card-sort task disappears. We show here, however, that if speed is used as the dependent measure, the effect of the first dimension is evident even in adults. Adults, like preschoolers, show difficulty in switching from a block of sorting by color or shape to a block of sorting by the other dimension. Notably, performance throughout the session was affected by the first dimension by which stimuli were sorted. We hypothesize that perhaps adults never fully outgrow any of the cognitive and perceptual biases of infancy and early childhood. Other examples of such biases that appear to still be present in adults are discussed. Conversely, the assumption that the optimal dependent measure for adults is the most sensitive measure for children is questioned.","It is hypothesized that perhaps adults never fully outgrow any of the cognitive and perceptual biases of infancy and early childhood, and the assumption that the optimal dependent measure for adults is the most sensitive measure for children is questioned."
"Wobbles, humps and sudden jumps","https://scispace.com/paper/wobbles-humps-and-sudden-jumps-54lyiq3ej1","2007","Journal Article","Infant Behavior & Development","van Marijn Dijk
van Paul Geert","","","Current individual-based, process-oriented approaches (dynamic systems theory and the microgenetic perspective) have led to an increase of variability-centred studies in the literature. The aim of this article is to propose a technique that incorporates variability in the analysis of the shape of developmental change. This approach is illustrated by the analysis of time serial language data, in particular data on the development of preposition use, collected from four participants. Visual inspection suggests that the development of prepositions-in-contexts shows a characteristic pattern of two phases, corresponding with a discontinuity. Three criteria for testing such discontinuous phase-wise change in individual data are presented and applied to the data. These are: (1) the sub-pattern criterion, (2) the peak criterion and (3) the membership criterion. The analyses rely on bootstrap and resampling procedures based on various null hypotheses. The results show that there are some indications of discontinuity in all participants, although clear inter-individual differences have been found, depending on the criteria used. In the discussion we will address several fundamental issues concerning (dis)continuity and variability in individual-based, process-oriented data sets. Copyright (c) 2007 John Wiley & Sons, Ltd.","In this article, a technique that incorporates variability in the analysis of the shape of developmental change was proposed, in particular data on the development of preposition use, collected from four participants, and three criteria for testing such discontinuous phase-wise change in individual data are presented and applied to the data."
"The speed of associative learning and retrieval in humans and non-human primates","https://scispace.com/paper/the-speed-of-associative-learning-and-retrieval-in-humans-1g448jx19l","2006","","","Timothy M. Ellmore","","","The conversion of a memory from an initially fragile state to an enduring representation requires cellular, molecular, and systems-level brain network changes. This reorganization is hypothesized to involve time-dependent neuroanatomical changes that may differentially support some types of remote versus recent memory, and may also influence the latency to decide and complete responses during retrieval. To quantify the timecourse of learning and retrieval after different retention durations, a paradigm is developed to measure in humans and monkeys the retrieval speed of visuomotor associations, which require an intact hippocampus for initial acquisition but not for retrieval after days or weeks. Two components of retrieval speed, a decision time to initiate movement and a velocity-dependent movement completion time to complete a motor response, are shown to change differently relative to a pre-retention baseline. Movement completion times decrease across repetitions within single learning session, and continue to decrease from the level reached at the end of learning following retention. Decision times also decrease within the learning session, but increase on the first post-retention retrieval attempt as a function of retention interval duration. Extensive practice is required for decision times to reach a level below that obtained at the end of learning, and the transition from a longto short-latency decision depends on the number and spacing of practice trials. The findings are discussed in a framework in which postretention processing time is influenced by the speed of visual identification, the time to","A paradigm is developed to measure in humans and monkeys the retrieval speed of visuomotor associations and two components of retrieval speed, a decision time to initiate movement and a velocity-dependent movement completion time to complete a motor response, are shown to change differently relative to a pre-retention baseline."
"Neural Strategies for Learning During Sensitive Periods of Development","https://scispace.com/paper/neural-strategies-for-learning-during-sensitive-periods-of-zazx960u2d","2002","Journal Article","Journal of Comparative Physiology A-neuroethology Sensory Neural and Behavioral Physiology","Sarah W. Bottjer","10.1007/S00359-002-0356-0","","Precise patterns of neural connectivity and synaptic communication are modified by experience during restricted ""sensitive"" periods of development, and the circuitry and associated behaviors that emerge during such periods are frequently preserved throughout the lifespan. In many neural systems, the expression of various molecules that influence synaptic transmission and neuronal morphology are developmentally regulated and may serve to constrain the timing of enhanced sensitivity to experiential inputs. In this highly selective review I concentrate on recent findings from the visual system and the song system that provide novel insights into the mechanisms that regulate sensitive period plasticity, and that raise new questions concerning what makes sensitive periods so sensitive.","This highly selective review focuses on recent findings from the visual system and the song system that provide novel insights into the mechanisms that regulate sensitive period plasticity, and that raise new questions concerning what makes sensitive periods so sensitive."
"Individual differences in animal intelligence: Learning, reasoning, selective attention and inter-species conservation of a cognitive trait.","https://scispace.com/paper/individual-differences-in-animal-intelligence-learning-2chwooqacr","2011","Journal Article","International Journal of Comparative Psychology","Louis D. Matzel
Christopher Wass
Stefan Kolata","","","Humans’ performance on most cognitive tasks are commonly regulated by an underlying latent variable (i.e., “general” intelligence), and the expression of this latent modulator of cognitive performance varies across individuals. While “intelligence” in humans is easily recognized, a precise definition of this trait has proven elusive, and has impeded efforts to compare the emergence of thi strait across species. Here we describe our efforts to characterize this cognitive trait in genetically heterogeneous laboratory mice. Using batteries of as many as eight learning tasks and various principal component analysis regimens, we have found a robust general factor that accounts fornearly 40% of the variance of individual animals across all tasks. This “” is not attributable to variations in stress reactivity or exploratory tendencies. However, like human intelligence, this general factor covaries with the efficacy of selective attention and working memory capacity. Importantly, we also find that general learning abilities covary with animals’ performance on novel tests of reasoning. In total, this work indicates that learning abilities, attentional control, andthe capacity for reasoning, features that constitute both colloquial and formal definitions of human intelligence, are commonly regulated in individual genetically heterogeneous mice. These results suggest an evolutionary conservation of the qualitative and quantitative properties of intelligence, and indicate that like humans, sub-human animals express individual differences in this trait. //","This work indicates that learning abilities, attentional control, and the capacity for reasoning, features that constitute both colloquial and formal definitions of human intelligence, are commonly regulated in individual genetically heterogeneous mice."
"Cutting across structural and transcriptomic scales translates time across the lifespan in humans and chimpanzees.","https://scispace.com/paper/cutting-across-structural-and-transcriptomic-scales-40tl969q8i","2021","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Christine J. Charvet","10.1098/RSPB.2020.2987","","How the unique capacities of human cognition arose in evolution is a question of enduring interest. It is still unclear which developmental programmes are responsible for the emergence of the human brain. The inability to determine corresponding ages between humans and apes has hampered progress in detecting developmental programmes leading to the emergence of the human brain. I harness temporal variation in anatomical, behavioural and transcriptional variation to determine corresponding ages from fetal to postnatal development and ageing, between humans and chimpanzees. This multi-dimensional approach results in 137 corresponding time points across the lifespan, from embryonic day 44 to approximately 55 years of age, in humans and their equivalent ages in chimpanzees. I used these data to test whether developmental programmes, such as the timeline of prefrontal cortex (PFC) maturation, previously claimed to differ between humans and chimpanzees, do so once variation in developmental schedules is controlled for. I compared the maturation of frontal cortex projections from structural magnetic resonance (MR) scans and from temporal variation in the expression of genes used to track long-range projecting neurons (i.e. supragranular-enriched genes) in chimpanzees and humans. Contrary to what has been suggested, the timetable of PFC maturation is not unusually extended in humans. This dataset, which is the largest with which to determine corresponding ages across humans and chimpanzees, provides a rigorous approach to control for variation in developmental schedules and to identify developmental programmes responsible for unique features of the human brain.","In this paper, the authors harness temporal variation in anatomical, behavioural and transcriptional variation to determine corresponding ages from fetal to postnatal development and ageing, between humans and chimpanzees, using a multi-dimensional approach that results in 137 corresponding time points across the lifespan, from embryonic day 44 to approximately 55 years of age in humans and their equivalent ages in chimpanzees."
"The evolution of sensitive periods in a model of incremental development","https://scispace.com/paper/the-evolution-of-sensitive-periods-in-a-model-of-incremental-t3dkakszj5","2016","Journal Article","Proceedings of The Royal Society B: Biological Sciences","Karthik Panchanathan
Willem E. Frankenhuis","10.1098/RSPB.2015.2439","","Sensitive periods, in which experience shapes phenotypic development to a larger extent than other periods, are widespread in nature. Despite a recent focus on neural–physiological explanation, few formal models have examined the evolutionary selection pressures that result in developmental mechanisms that produce sensitive periods. Here, we present such a model. We model development as a specialization process during which individuals incrementally adapt to local environmental conditions, while receiving a constant stream of cost-free, imperfect cues to the environmental state. We compute optimal developmental programmes across a range of ecological conditions and use these programmes to simulate developmental trajectories and obtain distributions of mature phenotypes. We highlight four main results. First, matching the empirical record, sensitive periods often result from experience or from a combination of age and experience, but rarely from age alone. Second, individual differences in sensitive periods emerge as a result of stochasticity in cues: individuals who obtain more consistent cue sets lose their plasticity at faster rates. Third, in some cases, experience shapes phenotypes only at a later life stage (lagged effects). Fourth, individuals might perseverate along developmental trajectories despite accumulating evidence suggesting the alternate trajectory is more likely to match the ecology.","This work model development as a specialization process during which individuals incrementally adapt to local environmental conditions, while receiving a constant stream of cost-free, imperfect cues to the environmental state, and compute optimal developmental programmes across a range of ecological conditions."
"Where the Standard Approach in Comparative Neuroscience Fails and Where It Works: General Intelligence and Brain Asymmetries","https://scispace.com/paper/where-the-standard-approach-in-comparative-neuroscience-544460bkma","2018","Journal Article","Comparative Cognition & Behavior Reviews","Davide Serpico
Elisa Frasnelli","10.3819/CCBR.2018.130010","","Although brain size and the concept of intelligence have been extensively used in comparative neuroscience to study cognition and its evolution, such coarse-grained traits may not be informative enough about important aspects of neurocognitive systems. By taking into account the different evolutionary trajectories and the selection pressures on neurophysiology across species, Logan and colleagues suggest that the cognitive abilities of an organism should be investigated by considering the fine-grained and species-specific phenotypic traits that characterize it. In such a way, we would avoid adopting human-oriented, coarse-grained traits, typical of the standard approach in cognitive neuroscience. We argue that this standard approach can fail in some cases, but can, however, work in others, by discussing two major topics in contemporary neuroscience as examples: general intelligence and brain asymmetries.","It is argued that this standard approach in cognitive neuroscience can fail in some cases, but can, however, work in others, by discussing two major topics in contemporary neuroscience as examples: general intelligence and brain asymmetries."
"Animal Creativity: Cross-Species Studies of Cognition","https://scispace.com/paper/animal-creativity-cross-species-studies-of-cognition-31z68aci4l","2015","Book Chapter","","Kendra S. Knudsen
David A.S. Kaufman
Stephanie A. White
Alcino J. Silva
David J. Jentsch
David J. Jentsch
Robert M. Bilder
Robert M. Bilder","10.1016/B978-0-12-800648-1.00008-5","","Based on studies of humans, we identified three core dimensions of creative cognition that we could study across species. In studies of birds, mice and non-human primates, we examined measures of: novelty generation (producing new ideas or actions); working/declarative memory (retrieving and maintaining information in mind long enough to use them in novel ways); and response inhibition (inhibiting habits to pursue novel, valuable actions). By exploring the brain circuits that are engaged, the gene networks that are activated, and the drug treatments that influence these processes, we have identified multiple building blocks that may help forge new theories about the biological bases of creativity. We believe that these core cognitive processes operate cooperatively in a way that is consistent with the “edge of chaos” theory, which suggests that creative cognition emerges from neural network activation states that arise at the interface of regimes that are ordered (predictable) or chaotic (unpredictable). An exciting development from this work will be seen in future efforts that may link the gene networks found in non-human species, to those that may underlie similar abilities in humans. These findings may yield new insights into the treatment of mental illnesses, and stimulate development of new methods to promote creativity more broadly.","By exploring the brain circuits that are engaged, the gene networks that are activated, and the drug treatments that influence these processes, this work has identified multiple building blocks that may help forge new theories about the biological bases of creativity."
