"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Neural Dynamics in the Rodent Prefrontal Cortex Underlying Behavioral Flexibility","https://scispace.com/paper/lKAFJqEKkYEJ","","","","F Wang","","","… learning theory to understand and model how PFC neural … learning theory to the largest multi-neuronal recordings ever … (A) During the switch between Rule 1 and Rule 2, the path which …",""
"Computational models of adaptive behavior and prefrontal cortex","https://scispace.com/paper/computational-models-of-adaptive-behavior-and-prefrontal-3kmvrqe5gs","2022","Journal Article","Neuropsychopharmacology","Alireza Soltani
Etienne Koechlin","10.1038/S41386-021-01123-1","https://www.nature.com/articles/s41386-021-01123-1.pdf","… the neural computations and the cognitive architecture of PFC … of the PFC in adaptive behavior is to manage the learning and … Rodent and monkey studies consistently show that abrupt …",""
"Behavioral flexibility in rats and mice: contributions of distinct frontocortical regions","https://scispace.com/paper/behavioral-flexibility-in-rats-and-mice-contributions-of-4ioih38phx","2015","Journal Article","Genes, Brain and Behavior","Derek A. Hamilton
Jonathan L. Brigman","10.1111/GBB.12191","https://onlinelibrary.wiley.com/doi/pdf/10.1111/gbb.12191","… on the neural and genetic bases of behavioral flexibility. … on the role of the rodent frontal cortex in behavioral flexibility. In … role of the frontal cortex in behavioral flexibility and motivates …","Research examining the contribution of genetics to behavior is increasingly focused on higher order behavioral and cognitive processes including the ability to modify behaviors when environmental demands change. The frontal cortices of mammals, including rodents, subserve a diverse set of behavioral and cognitive functions including motor planning, social behavior, evaluation of expected outcomes and working memory, which may be particularly sensitive to genetic factors and interactions with experience (e.g. stress). Behavioral flexibility is a core attribute of these functions. This review orients readers to the current landscape of the literature on the frontocortical bases of behavioral flexibility in rodent laboratory experiments. Studies are divided into three broad categories: reversal learning, inhibitory learning and set-shifting. Functional dissociations within the broader scope of behavioral flexibility are reviewed, followed by discussion of the associations between specific components of frontal cortex and specific aspects of relevant behavioral processes. Finally, the authors identify open questions that need to be addressed to better establish the constituents of frontal cortex underlying behavioral flexibility."
"The hippocampus and medial prefrontal cortex during flexible behavior","https://scispace.com/paper/the-hippocampus-and-medial-prefrontal-cortex-during-flexible-2qvwhkjwee","2019","Dissertation","","Karola Käfer","","https://research-explorer.ista.ac.at/download/6825/6846/Thesis_Kaefer_PDFA.pdf","… and mPFC, we recorded their neural activity during a task that … entire behavioral trajectories resembling trajectory replay of … of the rat can have six layers, the prefrontal cortex does not …","The solving of complex tasks requires the functions of more than one brain area and their interaction. Whilst spatial navigation and memory is dependent on the hippocampus, flexible behavior relies on the medial prefrontal cortex (mPFC). To further examine the roles of the hippocampus and mPFC, we recorded their neural activity during a task that depends on both of these brain regions.
With tetrodes, we recorded the extracellular activity of dorsal hippocampal CA1 (HPC) and mPFC neurons in Long-Evans rats performing a rule-switching task on the plus-maze. The plus-maze task had a spatial component since it required navigation along one of the two start arms and at the maze center a choice between one of the two goal arms. Which goal contained a reward depended on the rule currently in place. After an uncued rule change the animal had to abandon the old strategy and switch to the new rule, testing cognitive flexibility. Investigating the coordination of activity between the HPC and mPFC allows determination during which task stages their interaction is required. Additionally, comparing neural activity patterns in these two brain regions allows delineation of the specialized functions of the HPC and mPFC in this task. We analyzed neural activity in the HPC and mPFC in terms of oscillatory interactions, rule coding and replay.
We found that theta coherence between the HPC and mPFC is increased at the center and goals of the maze, both when the rule was stable or has changed. Similar results were found for locking of HPC and mPFC neurons to HPC theta oscillations. However, no differences in HPC-mPFC theta coordination were observed between the spatially- and cue-guided rule. Phase locking of HPC and mPFC neurons to HPC gamma oscillations was not modulated by
maze position or rule type. We found that the HPC coded for the two different rules with cofiring relationships between
cell pairs. However, we could not find conclusive evidence for rule coding in the mPFC. Spatially-selective firing in the mPFC generalized between the two start and two goal arms. With Bayesian positional decoding, we found that the mPFC reactivated non-local positions during awake immobility periods. Replay of these non-local positions could represent entire behavioral trajectories resembling trajectory replay of the HPC. Furthermore, mPFC
trajectory-replay at the goal positively correlated with rule-switching performance. 
Finally, HPC and mPFC trajectory replay occurred independently of each other. These results show that the mPFC can replay ordered patterns of activity during awake immobility, possibly underlying its role in flexible behavior."
"Dynamic flexibility in striatal-cortical circuits supports reinforcement learning","https://scispace.com/paper/dynamic-flexibility-in-striatal-cortical-circuits-supports-3tnz62txw3","2017","Posted Content","bioRxiv","Raphael T. Gerraty
Juliet Y. Davidow
Karin Foerde
Adriana Galván
Danielle S. Bassett
Daphna Shohamy","10.1101/094383","https://www.jneurosci.org/content/jneuro/38/10/2442.full.pdf","… For each trial in the learning phase, we recorded the feedback … neural mechanisms to feedback-based incremental learning. … flexibility in medial prefrontal and parahippocampal cortex …","Complex learned behaviors must involve the integrated action of distributed brain circuits. While the contributions of individual regions to learning have been extensively investigated, understanding how distributed brain networks orchestrate their activity over the course of learning remains elusive. To address this gap, we used fMRI combined with tools from dynamic network neuroscience to obtain time-resolved descriptions of network coordination during reinforcement learning. We found that learning to associate visual cues with reward involves dynamic changes in network coupling between the striatum and distributed brain regions, including visual, orbitofrontal, and ventromedial prefrontal cortex. Moreover, we found that flexibility in striatal network dynamics correlates with participants' learning rate and inverse temperature, two parameters derived from reinforcement learning models. Finally, we found that not all forms of learning relate to this circuit: episodic memory, measured in the same participants at the same time, was related to dynamic connectivity in distinct brain networks. These results suggest that dynamic changes in striatal-centered networks provide a mechanism for information integration during reinforcement learning."
"Replay of behavioral sequences in the medial prefrontal cortex during rule switching","https://scispace.com/paper/replay-of-behavioral-sequences-in-the-medial-prefrontal-3sdnkt691t","2020","Journal Article","Neuron","Karola Kaefer
Michele Nardin
Karel Blahna
Jozsef Csicsvari","10.1016/J.NEURON.2020.01.015","https://www.cell.com/neuron/pdfExtended/S0896-6273(20)30041-6","… that mPFC replay might have a role in flexible behavior. … the relationship of awake trajectory replay with rule-switching … collect a food reward (MLab rodent tablet 20mg, TestDiet, Richmod…",""
"Abrupt transitions between prefrontal neural ensemble states accompany behavioral transitions during rule learning","https://scispace.com/paper/abrupt-transitions-between-prefrontal-neural-ensemble-states-4390lq0i1a","2010","Journal Article","Neuron","Daniel Durstewitz
Nicole M. Vittoz
Stan B. Floresco
Jeremy K. Seamans","10.1016/J.NEURON.2010.03.029","https://www.cell.com/neuron/pdf/S0896-6273(10)00232-1.pdf","… visual and spatial rules were in conflict, eg, when the rat had to … In the current study we examined how PFC neuronal … that damage to the PFC impedes flexible responding only on the …",""
"Reconstructing Neural Dynamics Underlying Cognitive Flexibility Using Parameter-Evolving RNNs","https://scispace.com/paper/yiBZS9hIbAwJ","","","","MI Thurm","","https://archiv.ub.uni-heidelberg.de/volltextserver/37427/1/Max_Ingo_Thurm_Thesis_ubpup.pdf","… in the rodent medial prefrontal cortex (mPFC) during a … for describing neural processes in terms of state space trajectories, vector … Neural recordings from PFC during memory tasks show …",""
"Hippocampal and medial prefrontal ensemble spiking represents episodes and rules in similar task spaces","https://scispace.com/paper/hippocampal-and-medial-prefrontal-ensemble-spiking-4uludb9qtq","2023","Journal Article","Cell Reports","Aditya Srinivasan
Arvind A. Srinivasan
Justin S. Riceberg
M. R. Goodman
Kevin G. Guise
Matthew L. Shapiro","10.1016/j.celrep.2023.113296","https://www.cell.com/cell-reports/pdfExtended/S2211-1247(23)01308-6","… neural mechanisms of episodic memory are not fully known but require the hippocampus (HPC) and prefrontal cortex (PFC)… organization of behavioral events, including the rat’s current, …","<h2>Summary</h2> Episodic memory requires the hippocampus and prefrontal cortex to guide decisions by representing events in spatial, temporal, and personal contexts. Both brain regions have been described by cognitive theories that represent events in context as locations in maps or memory spaces. We query whether ensemble spiking in these regions described spatial structures as rats performed memory tasks. From each ensemble, we construct a state-space with each point defined by the coordinated spiking of single and pairs of units in 125-ms bins and investigate how state-space locations discriminate task features. Trajectories through state-spaces correspond with behavioral episodes framed by spatial, temporal, and internal contexts. Both hippocampal and prefrontal ensembles distinguish maze locations, task intervals, and goals by distances between state-space locations, consistent with cognitive mapping and relational memory space theories of episodic memory. Prefrontal modulation of hippocampal activity may guide choices by directing memory representations toward appropriate state-space goal locations. "
"Computational modeling of cognitive control for rule-guided behavior","https://scispace.com/paper/B-aciv7BYZYJ","","","","S Dagar","","https://theses.hal.science/tel-04301585/document","… in order for a rodent (agent) to learn a simple tactile rule in a radial … how the PFC supports contextual learning and the full … structure (changes in the state space, its transition properties, …",""
