"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Data Availability Assessment"
"Holistic Processing of Faces: Learning Effects with Mooney Faces","https://scispace.com/paper/holistic-processing-of-faces-learning-effects-with-mooney-13ueuut9sp","2005","Journal Article","Journal of Cognitive Neuroscience","Marianne Latinus
Margot J. Taylor","10.1162/0898929055002490","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses training on Mooney faces to show improved recognition and ERP changes, directly addressing perceptual learning. No contrast thresholds, hysteresis, pop‑out, bistable measures, or subject‑by‑subject data are reported.","The specialness of faces is seen in the face inversion effect, which disrupts the configural, but not the analytic, processing of faces. Mooney faces, which are processed holistically, allowed us to determine the contribution of holistic processing to the face inversion effect. As inverted Mooney faces are difficult to recognize as faces, we also included an intermediary training period for Mooney face recognition for half of the subjects. Early face-sensitive ERPs (N170 and P1) and P2 were measured.Behavioral data showed an increase in correct responses to inverted and upright Mooney faces after the learning phase for the experimental group. No effects were seen on P1. N170 latency did not vary with stimulus type before the intermediary phase, however, N170 amplitude was consistently larger for upright than inverted Mooney faces. After the intermediary exercise, N170 was delayed for inverted compared to upright Mooney faces. In contrast, for both groups of subjects P2 amplitude was larger for nonface stimuli, and P2 amplitude decreased after the intermediate task only for the subjects trained to recognize Mooney faces.As the usual inversion effect seen with photographic faces (delayed and larger N170) was not seen with Mooney faces, these data suggest that this effect on N170 is due to the recruitment of analytic processing. P2 reflected learning and a deeper processing of the stimuli that were not identifiable as faces.","INDIVIDUAL_SUBJECTS: Unclear
THRESHOLD_DATA: Unclear
DATA_ACCESS: None
HYSTERESIS: Unclear
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Low"
"Object recognition can drive motion perception","https://scispace.com/paper/object-recognition-can-drive-motion-perception-5e8v46mjjw","1998","Journal Article","Nature","Vilayanur S. Ramachandran
K. Carrie Armel
Christopher N. Foster
R. Stoddard","10.1038/27573","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Mooney faces to show recognition after seconds, linking object identification to apparent motion—demonstrates perceptual learning with Mooney images, but provides no threshold, hysteresis, pop‑out, bistability, individual‑level data, modeling, neural, or cross‑modal analyses.","When two spatially separated spots of light are flashed in rapid succession, apparent motion is seen between them1,2,3. We extended this phenomenon by photographing a face and producing from it a fragmented ‘puzzle picture’ or ‘Mooney face’ in which the face is not initially visible (Fig. 1, left; frame 1) but is seen after 15 to 60 seconds4. Another photograph of the same face seen in profile was used to produce a second Mooney face (Fig. 1, right; frame 2). When the two images were alternated, naive subjects at first saw random, incoherent, two-dimensional (2D) motion between the fragments. But once the face was recognized, it was perceived to rotate unambiguously in three dimensions. We conclude that complex image tokens set up by perceptual learning can drive perception of apparent motion.","INDIVIDUAL_SUBJECTS: Unclear
THRESHOLD_DATA: Unclear
DATA_ACCESS: None
HYSTERESIS: Unclear
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Low"
"A Link between Visual Disambiguation and Visual Memory","https://scispace.com/paper/a-link-between-visual-disambiguation-and-visual-memory-3ldicxqozq","2010","Journal Article","The Journal of Neuroscience","Jay Hegdé
Daniel Kersten","10.1523/JNEUROSCI.4415-09.2010","https://scispace.com/pdf/a-link-between-visual-disambiguation-and-visual-memory-3ldicxqozq.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows training improves Mooney image interpretation and links to visual memory traces; lacks contrast‑threshold or hysteresis measurements, no pop‑out effect, only brief mention of bistable images, and reports only group‑level neural data.","Sensory information in the retinal image is typically too ambiguous to support visual object recognition by itself. Theories of visual disambiguation posit that to disambiguate, and thus interpret, the incoming images, the visual system must integrate the sensory information with previous knowledge of the visual world. However, the underlying neural mechanisms remain unclear. Using functional magnetic resonance imaging (fMRI) of human subjects, we have found evidence for functional specialization for storing disambiguating information in memory versus interpreting incoming ambiguous images. Subjects viewed two-tone, “Mooney” images, which are typically ambiguous when seen for the first time but are quickly disambiguated after viewing the corresponding unambiguous color images. Activity in one set of regions, including a region in the medial parietal cortex previously reported to play a key role in Mooney image disambiguation, closely reflected memory for previously seen color images but not the subsequent disambiguation of Mooney images. A second set of regions, including the superior temporal sulcus, showed the opposite pattern, in that their responses closely reflected the subjects' percepts of the disambiguated Mooney images on a stimulus-to-stimulus basis but not the memory of the corresponding color images. Functional connectivity between the two sets of regions was stronger during those trials in which the disambiguated percept was stronger. This functional interaction between brain regions that specialize in storing disambiguating information in memory versus interpreting incoming ambiguous images may represent a general mechanism by which previous knowledge disambiguates visual sensory information.","INDIVIDUAL_SUBJECTS: No
THRESHOLD_DATA: Yes
DATA_ACCESS: None
HYSTERESIS: Yes
N_SUBJECTS: 10
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: High"
"Vision and Revision: Cue-triggered Perceptual Reorganization of Two-tone Images in US Preschoolers and Adults","https://scispace.com/paper/Eif7L0Zlnk8J","","","","JMD Yoon","","","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses cue‑triggered reorganization of two‑tone (Mooney) images to show recognition thresholds shift with experience, but lacks contrast‑threshold measures, hysteresis, pop‑out, bistable analysis, or subject‑by‑subject data.","","INDIVIDUAL_SUBJECTS: No
THRESHOLD_DATA: No
DATA_ACCESS: None
HYSTERESIS: No
N_SUBJECTS: Not available in metadata.
N_MEASUREMENTS: Not available in metadata.
PRIORITY: Not available in metadata."
"… for Seeing: Enculturation of Visual-Referential Expertise as Demonstrated by Photo-Triggered Perceptual Reorganization of Two-Tone “Mooney” Images","https://scispace.com/paper/M-56adoTKpkJ","","","","J Yoon
N Witthoft
J Winawer
MC Frank","","https://escholarship.org/content/qt5n10g78h/qt5n10g78h.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows training‑driven improvement on Mooney images, uses photo cues to trigger perceptual reorganization; reports contrast manipulations but lacks explicit hysteresis or pop‑out; provides some subject‑level curves but focuses on group trends.","","INDIVIDUAL_SUBJECTS: Somewhat Relevant | THRESHOLD_DATA: No | DATA_ACCESS: None | HYSTERESIS: Not Relevant | N_SUBJECTS: Not available in metadata. | N_MEASUREMENTS: Not available in metadata. | PRIORITY: Not available in metadata."
"Neural and computational mechanisms underlying one-shot perceptual learning in humans","https://scispace.com/paper/neural-and-computational-mechanisms-underlying-one-shot-91seza0elw6h","2025","Journal Article","bioRxiv","Ayaka Hachisuka
Jonathan Shor
X. Liu
Daniel Friedman
Patricia Dugan
Ignacio Saez
Fedor E. Panov
Yao Wang
Werner Doyle
Orrin Devinsky
Eric Oermann
Biyu J. He","10.1101/2025.05.09.635727","https://www.nature.com/articles/s41467-026-68711-x.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses one‑shot learning with Mooney images to show rapid perceptual improvement; reports detection thresholds but no explicit hysteresis; lacks pop‑out or bistable analysis; includes some subject‑level results.","","INDIVIDUAL_SUBJECTS: Yes
THRESHOLD_DATA: Yes
DATA_ACCESS: None
HYSTERESIS: No
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Medium"
"Prior object-knowledge sharpens properties of early visual feature-detectors","https://scispace.com/paper/prior-object-knowledge-sharpens-properties-of-early-visual-267xtjnkmf","2018","Journal Article","Scientific Reports","Christoph Teufel
Steven C. Dakin
Steven C. Dakin
Paul C. Fletcher
Paul C. Fletcher","10.1038/S41598-018-28845-5","https://scispace.com/pdf/prior-object-knowledge-sharpens-properties-of-early-visual-267xtjnkmf.pdf","- **Relevance Score:** 26/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses prior object knowledge to lower contrast detection thresholds for Mooney images, showing learning‑like effects; measures thresholds but no hysteresis; lacks pop‑out or bistable hysteresis; reports thresholds per observer but not extensive individual curves.","Early stages of visual processing are carried out by neural circuits activated by simple and specific features, such as the orientation of an edge. A fundamental question in human vision is how the brain organises such intrinsically local information into meaningful properties of objects. Classic models of visual processing emphasise a one-directional flow of information from early feature-detectors to higher-level information-processing. By contrast to this view, and in line with predictive-coding models of perception, here, we provide evidence from human vision that high-level object representations dynamically interact with the earliest stages of cortical visual processing. In two experiments, we used ambiguous stimuli that, depending on the observer’s prior object-knowledge, can be perceived as either coherent objects or as a collection of meaningless patches. By manipulating object knowledge we were able to determine its impact on processing of low-level features while keeping sensory stimulation identical. Both studies demonstrate that perception of local features is facilitated in a manner consistent with an observer’s high-level object representation (i.e., with no effect on object-inconsistent features). Our results cannot be ascribed to attentional influences. Rather, they suggest that high-level object representations interact with and sharpen early feature-detectors, optimising their performance for the current perceptual context.","INDIVIDUAL_SUBJECTS: Yes
THRESHOLD_DATA: Yes
DATA_ACCESS: Repository
HYSTERESIS: Not addressed in this paper.
N_SUBJECTS: 12 (Experiment 1), 14 (Experiment 2)
N_MEASUREMENTS: Not addressed in this paper.
PRIORITY: High"
"Correlations Between Hysteretic Categorical and Continuous Judgments of Perceptual Stimuli Supporting a Unified Dynamical Systems Approach to Perception.","https://scispace.com/paper/correlations-between-hysteretic-categorical-and-continuous-2o7jgf9gkz","2018","Journal Article","Perception","S. Kim
T. D. Frank","10.1177/0301006617731047","","- **Relevance Score:** 16/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses bistable figure‑ground stimuli to measure hysteresis, linking forward/backward thresholds. Implements Lotka‑Volterra amplitude equations to model perceptual dynamics. No Mooney images, contrast thresholds, pop‑out, or individual‑subject data.","We report from two variants of a figure-ground experiment that is known in the literature to involve a bistable perceptual domain. The first variant was conducted as a two-alternative forced-choice experiment and in doing so tested participants on a categorical measurement scale. The second variant involved a Likert scale measure that was considered to represent a continuous measurement scale. The two variants were conducted as a single within-subjects experiment. Measures of bistability operationalized in terms of hysteresis size scores showed significant positive correlations across the two response conditions. The experimental findings are consistent with a dualistic interpretation of self-organizing perceptual systems when they are described on a macrolevel by means of so-called amplitude equations. This is explicitly demonstrated for a Lotka-Volterra-Haken amplitude equation model of task-related brain activity. As a by-product, the proposed dynamical systems perspective also sheds new light on the anchoring problem of producing numerical, continuous judgments.","INDIVIDUAL_SUBJECTS: Unclear
THRESHOLD_DATA: Unclear
DATA_ACCESS: None
HYSTERESIS: Yes
N_SUBJECTS: Unclear
N_MEASUREMENTS: Unclear
PRIORITY: Unclear"
"A Neural Basis for Perceptual Dynamics","https://scispace.com/paper/a-neural-basis-for-perceptual-dynamics-1ms4l77do2","2010","Book Chapter","","Howard S. Hock
Gregor Schöner","10.1007/978-3-642-16262-6_7","https://psy2.fau.edu/~hock/docs/Hock.Schoener.JirsaChapter.pdf","- **Relevance Score:** 16/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses neural ensemble stabilization to explain hysteresis in bistable perception; provides a theoretical model of perceptual dynamics, but does not involve Mooney images, contrast thresholds, pop‑out effects, individual subject data, or neural recordings.","Perceptual stability is ubiquitous in our everyday lives. Objects in the world may look somewhat different as the perceiver’s viewpoint changes, but it is rare that their essential stability is lost and qualitatively different objects are perceived. In this chapter we examine the source of this stability based on the principle that perceptual experience is embodied in the neural activation of ensembles of detectors that respond selectively to the attributes of visual objects. Perceptual stability thereby depends on processes that stabilize neural activation. These include biophysical processes that stabilize the activation of individual neurons, and processes entailing excitatory and inhibitory interactions among ensembles of stimulated detectors that create the ""detection instabilities"" that ensure perceptual stability for near threshold stimulus attributes. It is shown for stimuli with two possible perceptual states that these stabilization processes are sufficient to account for spontaneous switching between percepts that differ in relative stability, and for the hysteresis observed when attribute values are continually increased or decreased.","INDIVIDUAL_SUBJECTS: Unclear
THRESHOLD_DATA: Unclear
DATA_ACCESS: None
HYSTERESIS: Yes
N_SUBJECTS: Not available in metadata.
N_MEASUREMENTS: Not available in metadata.
PRIORITY: Not available in metadata."
"Same stimulus, same temporal context, different percept? Individual differences in hysteresis and adaptation when perceiving multistable dot lattices","https://scispace.com/paper/same-stimulus-same-temporal-context-different-percept-29vcljfy","2022","Journal Article","I-perception","Eline Van Geert
Pieter Moors
Julia M. Haaf
Johan Wagemans","10.1177/20416695221109300","","- **Relevance Score:** 11/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses hierarchical modeling to reveal stable individual differences in hysteresis/adaptation for multistable dot lattices; lacks Mooney images, contrast thresholds, or pop‑out effects, but provides subject‑by‑subject data and examines bistable hysteresis.","How we perceptually organize a visual stimulus depends not only on the stimulus itself, but also on the temporal and spatial context in which the stimulus is presented and on the individual processing the stimulus and context. Earlier research found both attractive and repulsive context effects in perception: tendencies to organize visual input similarly to preceding context stimuli (i.e., hysteresis, attraction) co-exist with tendencies that repel the current percept from the organization that is most dominant in these contextual stimuli (i.e., adaptation, repulsion). These processes have been studied mostly on a group level (e.g., Schwiedrzik et al., 2014). Using a Bayesian hierarchical model comparison approach, the present study (N = 75) investigated whether consistent individual differences exist in these attractive and repulsive temporal context effects, with multistable dot lattices as stimuli. In addition, the temporal stability of these individual differences in context effects was investigated, and it was studied how the strength of these effects related to the strength of individual biases for absolute orientations. The results demonstrate that large individual differences in the size of attractive and repulsive context effects exist. Furthermore, these individual differences are highly consistent across timepoints (one to two weeks apart). Although almost everyone showed both effects in the expected direction, not every single individual did. In sum, the study reveals differences in how individuals combine previous input and experience with current input in their perception, and more generally, this teaches us that different individuals can perceive identical stimuli differently, even within a similar context.","INDIVIDUAL_SUBJECTS: Yes
THRESHOLD_DATA: No
DATA_ACCESS: None
HYSTERESIS: Yes
N_SUBJECTS: 75
N_MEASUREMENTS: Unclear
PRIORITY: High"
